Rozwiązania dla macierzy 1:
x26 = -969,748978498904
x27 = -450,119908224192
x28 = -304,577195765117
x29 = 32,2743412850595
x30 = -89,950943868787

Rozwiązania dla macierzy 25:
x1 = 6,50556661169456
x2 = -1,91275711365503
x3 = 5,32925617390735
x4 = 6,17310345630323
x5 = -9,73224581722449
x6 = -1,63038338903757
x7 = 6,07018972805536
x8 = 9,91783204424085
x9 = 0,361159090483195
x10 = -2,22708804200109
x11 = -1,76065905064567
x12 = -1,13873709816472
x13 = 4,80862229440073
x14 = -4,7710711544847
x15 = 9,06201689366982
x16 = 12,2548068708558
x17 = -1,53458351296503
x18 = -4,44224596399435
x19 = 1,75375472366964
x20 = 4,35331651436943
x21 = -5,0146931806302
x22 = -5,0032281582029
x23 = -0,446253985559892
x24 = 0,738280707986597
x25 = -2,8258556860827
x26 = 2,18782347266787
x27 = -3,02776413890475
x28 = 7,47234157906784
x29 = -2,09227340401448
x30 = -5,45891293615766

Rozwiązania dla macierzy 26:
x1 = 0,022131678006623
x2 = 0,970448017089057
x3 = -0,055709734366174
x4 = -1,09459405008268
x5 = -0,606550284143424
x6 = -0,181870555729322
x7 = -0,200572062062959
x8 = -0,495930688327709
x9 = -0,400463458082628
x10 = 0,250951380541043
x11 = -0,636586777682996
x12 = -0,0131569335222175
x13 = 0,38068698900152
x14 = 0,683828652092611
x15 = 0,528224956272285
x16 = -1,519589830644
x17 = 0,549825008536016
x18 = 0,163325974213393
x19 = -1,64726814621356
x20 = -0,186949369813362
x21 = 1,04142746425044
x22 = 0,64172291859048
x23 = -1,41285937644068
x24 = 0,347330278493225
x25 = -1,12705599846847
x26 = -0,682457215057421
x27 = 0,803832744869513
x28 = 0,182784168951308
x29 = -0,422239065199823
x30 = -0,216815166748681

Rozwiązania dla macierzy 27:
x1 = 0,470587595169833
x2 = 3,55959495648829
x3 = 6,87838934324497
x4 = 1,46118285961503
x5 = 5,41223108404036
x6 = 5,6454302381703
x7 = -4,90948816156535
x8 = 0,393786481749093
x9 = -2,46123745086462
x10 = -0,918903773526984
x11 = -1,28651173584195
x12 = -2,64186360475952
x13 = 4,71579023748759
x14 = -4,151691385334
x15 = 2,27673302767089
x16 = 6,4217089426372
